codex_result_emojis,incoder_result_emojis,codeparrot_result_emojis,hash_type,transform,example_input,codex_result,model_input,failed_inputs,failed_inputs,failed_inputs,errors,errors,errors,incoder_result,errors,errors,errors,failed_inputs,failed_inputs,failed_inputs,codeparrot_result,errors,errors,errors,failed_inputs,failed_inputs,failed_inputs
💀💀💀✅,💀💀💀✅,✅✅✅✅,sha1,none,0,eeep,input/codex/hash/21.txt,[],[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]","[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],eeep,"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]","[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],[],[],[],pppp,"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]","[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],[],[],[]
💀💀💀✅,💀💀💀✅,✅✅✅✅,sha1,none,sha1,eeep,input/codex/hash/22.txt,[],[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]","[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],eeep,"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]","[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],[],[],[],pppp,"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]","[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],[],[],[]
💀💀💀✅,✅✅✅✅,✅✅✅✅,sha1,none,md5,eeep,input/codex/hash/23.txt,[],[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],pppp,"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[],[],[],pppp,"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[],[],[]
✅✅✅✅,✅✅✅✅,✅✅✅❌,sha1,uppercase,,pppp,input/codex/hash/24.txt,[],[],"[[""None"", ""'da39a3ee5e6b4b0d3255bfef95601890afd80709'""]]",[],[],[],pppp,[],[],[],[],[],"[[""None"", ""'da39a3ee5e6b4b0d3255bfef95601890afd80709'""]]",pppf,[],[],[],[],[],"[[""None"", ""'da39a3ee5e6b4b0d3255bfef95601890afd80709'""]]"
💀💀💀✅,✅✅✅✅,💀💀💀✅,sha1,uppercase,Hello world,eeep,input/codex/hash/25.txt,[],[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",pppp,"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[],eeep,"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[]
✅✅✅✅,💀💀💀✅,💀💀💀✅,sha1,uppercase,Hallo welt,pppp,input/codex/hash/26.txt,[],[],[],[],"[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]","[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",eeep,[],"[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]","[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[],eeep,[],"[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]","[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[]
💀💀💀✅,✅✅✅✅,💀💀💀✅,sha1,uppercase,0,eeep,input/codex/hash/27.txt,[],[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",pppp,"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[],eeep,"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[]
💀💀💀✅,💀💀💀✅,✅✅✅✅,sha1,uppercase,sha1,eeep,input/codex/hash/28.txt,[],[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]","[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],eeep,"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]","[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],[],[],[],pppp,"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]","[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],[],[],[]
💀💀💀✅,✅✅✅✅,💀💀💀✅,sha1,uppercase,md5,eeep,input/codex/hash/29.txt,[],[],[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",pppp,"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[],eeep,"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],"[""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing"", ""Unicode-objects must be encoded before hashing""]",[],[],[]
✅✅✅✅,💀💀💀💀,✅✅✅❌,sha1,dash,,pppp,input/codex/hash/30.txt,[],[],"[[""None"", ""'da39a3ee5e6b4b0d3255bfef95601890afd80709'""]]",[],"[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],eeee,[],"[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],[],[],"[[""None"", ""'da39a3ee5e6b4b0d3255bfef95601890afd80709'""]]",pppf,[],"[""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined"", ""name 'sha1' is not defined""]",[],[],[],"[[""None"", ""'da39a3ee5e6b4b0d3255bfef95601890afd80709'""]]"
