hash_type,transform,example_input,result_emojis,result,model_input,failed_inputs,errors
sha256,none,Hallo welt,💀💀💀✅,eeep,input/incoder/hash/56.txt,[],"[""name 'sha256' is not defined"", ""name 'sha256' is not defined"", ""name 'sha256' is not defined""]"
sha256,none,0,💀💀💀✅,eeep,input/incoder/hash/57.txt,[],"[""name 'sha256' is not defined"", ""name 'sha256' is not defined"", ""name 'sha256' is not defined""]"
sha256,none,sha1,✅✅✅✅,pppp,input/incoder/hash/58.txt,[],[]
sha256,none,md5,✅✅✅✅,pppp,input/incoder/hash/59.txt,[],[]
sha256,uppercase,,✅✅✅❌,pppf,input/incoder/hash/60.txt,"[[""None"", ""'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'""]]",[]
sha256,uppercase,Hello world,✅✅✅❌,pppf,input/incoder/hash/61.txt,"[[""None"", ""'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'""]]",[]
sha256,uppercase,Hallo welt,✅✅✅✅,pppp,input/incoder/hash/62.txt,[],[]
sha256,uppercase,0,💀💀💀✅,eeep,input/incoder/hash/63.txt,[],"[""name 'sha256' is not defined"", ""name 'sha256' is not defined"", ""name 'sha256' is not defined""]"
sha256,uppercase,sha1,✅✅✅✅,pppp,input/incoder/hash/64.txt,[],[]
sha256,uppercase,md5,✅✅✅✅,pppp,input/incoder/hash/65.txt,[],[]
sha256,dash,,✅✅✅✅,pppp,input/incoder/hash/66.txt,[],[]
sha256,dash,Hello world,✅✅✅✅,pppp,input/incoder/hash/67.txt,[],[]
sha256,dash,Hallo welt,✅✅✅✅,pppp,input/incoder/hash/68.txt,[],[]
sha256,dash,0,✅✅✅✅,pppp,input/incoder/hash/69.txt,[],[]
sha256,dash,sha1,✅✅✅✅,pppp,input/incoder/hash/70.txt,[],[]
sha256,dash,md5,✅✅✅✅,pppp,input/incoder/hash/71.txt,[],[]
sha384,none,,💀💀💀✅,eeep,input/incoder/hash/72.txt,[],"[""name 'sha384' is not defined"", ""name 'sha384' is not defined"", ""name 'sha384' is not defined""]"
sha384,none,Hello world,💀💀💀✅,eeep,input/incoder/hash/73.txt,[],"[""name 'sha384' is not defined"", ""name 'sha384' is not defined"", ""name 'sha384' is not defined""]"
sha384,none,Hallo welt,💀💀💀✅,eeep,input/incoder/hash/74.txt,[],"[""name 'sha384' is not defined"", ""name 'sha384' is not defined"", ""name 'sha384' is not defined""]"
sha384,none,0,💀💀💀✅,eeep,input/incoder/hash/75.txt,[],"[""name 'sha384' is not defined"", ""name 'sha384' is not defined"", ""name 'sha384' is not defined""]"
sha384,none,sha1,✅✅✅✅,pppp,input/incoder/hash/76.txt,[],[]
sha384,none,md5,✅✅✅✅,pppp,input/incoder/hash/77.txt,[],[]
sha384,uppercase,,💀💀💀✅,eeep,input/incoder/hash/78.txt,[],"[""name 'sha384' is not defined"", ""name 'sha384' is not defined"", ""name 'sha384' is not defined""]"
sha384,uppercase,Hello world,💀💀💀✅,eeep,input/incoder/hash/79.txt,[],"[""name 'sha384' is not defined"", ""name 'sha384' is not defined"", ""name 'sha384' is not defined""]"
sha384,uppercase,Hallo welt,💀💀💀✅,eeep,input/incoder/hash/80.txt,[],"[""name 'sha384' is not defined"", ""name 'sha384' is not defined"", ""name 'sha384' is not defined""]"
sha384,uppercase,0,💀💀💀✅,eeep,input/incoder/hash/81.txt,[],"[""name 'sha384' is not defined"", ""name 'sha384' is not defined"", ""name 'sha384' is not defined""]"
sha384,uppercase,sha1,💀💀💀✅,eeep,input/incoder/hash/82.txt,[],"[""name 'sha384' is not defined"", ""name 'sha384' is not defined"", ""name 'sha384' is not defined""]"
sha384,uppercase,md5,✅✅✅✅,pppp,input/incoder/hash/83.txt,[],[]
sha384,dash,,❌❌❌✅,fffp,input/incoder/hash/84.txt,"[[""'9203b0c4439fd1e6ae5878866337b7c532acd6d9260150c80318e8ab8c27ce330189f8df94fb890df1d298ff360627e1'"", ""'ff3917192427ea1aa7f3ad47ac10152d179af30126c52835ee8dc7e6ea12aed91ad91b316e15c3b250469ef17a03e529'""], [""'88150c051d8e510ce8390aacc47aeba54b5530224e63216716fb69d056ecba62eedd86a3b455ddc617701142ae122638'"", ""'0f45ea29ed3485272aa56b7bad8bb96eb6a9e5745d6fb9675f09c60f89f393e5e96d754aae51eef3f0466e52e589f2a0'""], [""'a8b64babd0aca91a59bdbb7761b421d4f2bb38280d3a75ba0f21f2bebc45583d446c598660c94ce680c47d19c30783a7'"", ""'9c1565e99afa2ce7800e96a73c125363c06697c5674d59f227b3368fd00b85ead506eefa90702673d873cb2c9357eafc'""]]",[]
