hash_type,transform,example_input,result_emojis,result,model_input,failed_inputs,errors
blake2b,dash,md5,💀💀💀✅,eeep,input/codex/hash/125.txt,[],"[""name 'blake2b' is not defined"", ""name 'blake2b' is not defined"", ""name 'blake2b' is not defined""]"
blake2s,none,,💀💀💀✅,eeep,input/codex/hash/126.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,none,Hello world,💀💀💀✅,eeep,input/codex/hash/127.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,none,Hallo welt,💀💀💀✅,eeep,input/codex/hash/128.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,none,0,💀💀💀✅,eeep,input/codex/hash/129.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,none,sha1,💀💀💀✅,eeep,input/codex/hash/130.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,none,md5,💀💀💀✅,eeep,input/codex/hash/131.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,uppercase,,💀💀💀✅,eeep,input/codex/hash/132.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,uppercase,Hello world,💀💀💀✅,eeep,input/codex/hash/133.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,uppercase,Hallo welt,💀💀💀✅,eeep,input/codex/hash/134.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,uppercase,0,💀💀💀✅,eeep,input/codex/hash/135.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,uppercase,sha1,💀💀💀✅,eeep,input/codex/hash/136.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,uppercase,md5,💀💀💀✅,eeep,input/codex/hash/137.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,dash,,💀💀💀✅,eeep,input/codex/hash/138.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,dash,Hello world,💀💀💀✅,eeep,input/codex/hash/139.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,dash,Hallo welt,💀💀💀✅,eeep,input/codex/hash/140.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
